ip,date,time,T (ºC)
168.90.31.193,23/10/2020, 02:20:23,23.86
168.90.31.193,23/10/2020, 02:21:00,24.50
168.90.31.193,23/10/2020, 02:21:36,24.50
168.90.31.193,23/10/2020, 02:22:12,24.54
168.90.31.193,23/10/2020, 02:22:49,24.54
168.90.31.193,23/10/2020, 02:23:25,24.54
168.90.31.193,23/10/2020, 02:24:01,24.54
168.90.31.193,23/10/2020, 02:24:38,24.50
168.90.31.193,23/10/2020, 02:25:14,24.50
168.90.31.193,23/10/2020, 02:25:51,24.54
168.90.31.193,23/10/2020, 02:26:27,24.50
168.90.31.193,23/10/2020, 02:27:03,24.45
168.90.31.193,23/10/2020, 02:27:39,24.54
168.90.31.193,23/10/2020, 02:28:16,23.86
168.90.31.193,23/10/2020, 02:28:52,24.54
168.90.31.193,23/10/2020, 02:29:28,24.54
168.90.31.193,23/10/2020, 02:30:05,24.50
168.90.31.193,23/10/2020, 02:30:41,24.54
168.90.31.193,23/10/2020, 02:31:17,24.50
168.90.31.193,23/10/2020, 02:31:53,24.50
168.90.31.193,23/10/2020, 02:32:29,24.50
168.90.31.193,23/10/2020, 02:33:06,24.54
168.90.31.193,23/10/2020, 02:33:42,23.86
168.90.31.193,23/10/2020, 02:34:18,24.50
168.90.31.193,23/10/2020, 02:34:55,24.50
168.90.31.193,23/10/2020, 02:35:31,24.50
168.90.31.193,23/10/2020, 02:36:07,24.54
168.90.31.193,23/10/2020, 02:36:43,24.50
168.90.31.193,23/10/2020, 02:37:20,24.50
168.90.31.193,23/10/2020, 02:37:56,23.91
168.90.31.193,23/10/2020, 02:38:32,24.50
168.90.31.193,23/10/2020, 02:39:09,24.54
168.90.31.193,23/10/2020, 02:39:45,24.50
168.90.31.193,23/10/2020, 02:40:21,24.45
168.90.31.193,23/10/2020, 02:40:58,24.50
168.90.31.193,23/10/2020, 02:41:34,24.50
168.90.31.193,23/10/2020, 02:42:10,24.50
168.90.31.193,23/10/2020, 02:42:47,23.91
168.90.31.193,23/10/2020, 02:43:23,24.50
168.90.31.193,23/10/2020, 02:43:59,24.50
168.90.31.193,23/10/2020, 02:44:35,24.50
168.90.31.193,23/10/2020, 02:45:12,23.86
168.90.31.193,23/10/2020, 02:45:48,24.50
168.90.31.193,23/10/2020, 02:46:25,24.50
168.90.31.193,23/10/2020, 02:47:01,24.50
168.90.31.193,23/10/2020, 02:47:37,24.50
168.90.31.193,23/10/2020, 02:48:13,23.86
168.90.31.193,23/10/2020, 02:48:50,23.86
168.90.31.193,23/10/2020, 02:49:26,24.45
168.90.31.193,23/10/2020, 02:50:02,24.50
168.90.31.193,23/10/2020, 02:50:38,24.45
168.90.31.193,23/10/2020, 02:51:15,24.45
168.90.31.193,23/10/2020, 02:51:51,24.50
168.90.31.193,23/10/2020, 02:52:27,24.50
168.90.31.193,23/10/2020, 02:53:03,24.45
168.90.31.193,23/10/2020, 02:53:40,24.50
168.90.31.193,23/10/2020, 02:54:16,24.50
168.90.31.193,23/10/2020, 02:54:52,23.86
168.90.31.193,23/10/2020, 02:55:29,23.86
168.90.31.193,23/10/2020, 02:56:05,24.50
168.90.31.193,23/10/2020, 02:56:41,24.50
168.90.31.193,23/10/2020, 02:57:17,24.54
168.90.31.193,23/10/2020, 02:57:54,24.50
168.90.31.193,23/10/2020, 02:58:30,23.86
168.90.31.193,23/10/2020, 02:59:06,24.50
168.90.31.193,23/10/2020, 02:59:43,24.45
168.90.31.193,23/10/2020, 03:00:19,24.50
168.90.31.193,23/10/2020, 03:00:55,23.81
168.90.31.193,23/10/2020, 03:01:31,24.45
168.90.31.193,23/10/2020, 03:02:07,23.86
168.90.31.193,23/10/2020, 03:02:44,24.50
168.90.31.193,23/10/2020, 03:03:20,24.45
168.90.31.193,23/10/2020, 03:03:56,24.50
168.90.31.193,23/10/2020, 03:04:33,24.50
168.90.31.193,23/10/2020, 03:05:09,24.50
168.90.31.193,23/10/2020, 03:05:45,24.45
168.90.31.193,23/10/2020, 03:06:21,24.41
168.90.31.193,23/10/2020, 03:06:57,24.45
168.90.31.193,23/10/2020, 03:07:34,24.45
168.90.31.193,23/10/2020, 03:08:10,23.81
168.90.31.193,23/10/2020, 03:08:47,24.45
168.90.31.193,23/10/2020, 03:09:23,24.45
168.90.31.193,23/10/2020, 03:09:59,24.45
168.90.31.193,23/10/2020, 03:10:35,23.81
168.90.31.193,23/10/2020, 03:11:11,24.45
168.90.31.193,23/10/2020, 03:11:47,24.45
168.90.31.193,23/10/2020, 03:12:24,24.41
168.90.31.193,23/10/2020, 03:13:00,23.81
168.90.31.193,23/10/2020, 03:13:36,23.81
168.90.31.193,23/10/2020, 03:14:12,24.41
168.90.31.193,23/10/2020, 03:14:48,23.77
168.90.31.193,23/10/2020, 03:15:24,23.86
168.90.31.193,23/10/2020, 03:16:01,24.45
168.90.31.193,23/10/2020, 03:16:37,24.45
168.90.31.193,23/10/2020, 03:17:13,24.45
168.90.31.193,23/10/2020, 03:17:49,24.45
168.90.31.193,23/10/2020, 03:18:26,24.50
168.90.31.193,23/10/2020, 03:19:02,24.45
168.90.31.193,23/10/2020, 03:19:39,24.45
168.90.31.193,23/10/2020, 03:20:15,24.41
168.90.31.193,23/10/2020, 03:20:51,24.45
168.90.31.193,23/10/2020, 03:21:28,24.50
168.90.31.193,23/10/2020, 03:22:04,24.45
168.90.31.193,23/10/2020, 03:22:40,24.50
168.90.31.193,23/10/2020, 03:23:17,24.45
168.90.31.193,23/10/2020, 03:23:53,24.41
168.90.31.193,23/10/2020, 03:24:29,24.50
168.90.31.193,23/10/2020, 03:25:05,23.77
168.90.31.193,23/10/2020, 03:25:41,23.77
168.90.31.193,23/10/2020, 03:26:17,24.45
168.90.31.193,23/10/2020, 03:26:54,24.41
168.90.31.193,23/10/2020, 03:27:30,23.81
168.90.31.193,23/10/2020, 03:28:06,24.41
168.90.31.193,23/10/2020, 03:28:42,24.45
168.90.31.193,23/10/2020, 03:29:18,23.81
168.90.31.193,23/10/2020, 03:29:55,24.36
168.90.31.193,23/10/2020, 03:30:31,24.41
168.90.31.193,23/10/2020, 03:31:07,24.41
168.90.31.193,23/10/2020, 03:31:43,23.86
168.90.31.193,23/10/2020, 03:32:20,24.41
168.90.31.193,23/10/2020, 03:32:56,24.41
168.90.31.193,23/10/2020, 03:33:32,24.41
168.90.31.193,23/10/2020, 03:34:08,24.45
168.90.31.193,23/10/2020, 03:34:45,24.41
168.90.31.193,23/10/2020, 03:35:21,24.41
168.90.31.193,23/10/2020, 03:35:58,24.41
